/run/media/levan/SDXC/NSU/MyLabs/OS/lab3/task3/build master* ⇡
❯ sudo ./prog
=== PID: 17952 ===
0x7f50e2a77000 | RAM  | PFN: 0x0110da2 | Физический: 0x000110da2000 | [DIRTY]
0x7f50e2a78000 | RAM  | PFN: 0x0110da3 | Физический: 0x000110da3000 | [DIRTY]
0x7f50e2a79000 | RAM  | PFN: 0x0110da4 | Физический: 0x000110da4000 | [DIRTY]
0x7f50e2a7a000 | RAM  | PFN: 0x0110d8e | Физический: 0x000110d8e000 | [DIRTY]
0x7f50e2a7b000 | RAM  | PFN: 0x0111ab0 | Физический: 0x000111ab0000 | [DIRTY]
0x7f50e2a7c000 | RAM  | PFN: 0x0110d92 | Физический: 0x000110d92000 | [DIRTY]
0x7f50e2a7d000 | RAM  | PFN: 0x0110d90 | Физический: 0x000110d90000 | [DIRTY]
0x7f50e2a7e000 | RAM  | PFN: 0x0110d9c | Физический: 0x000110d9c000 | [DIRTY]
0x7f50e2a7f000 | RAM  | PFN: 0x0110da6 | Физический: 0x000110da6000 | [DIRTY]
0x7f50e2a90000 | RAM  | PFN: 0x0111ab3 | Физический: 0x000111ab3000 | [DIRTY]
0x7f50e2a91000 | RAM  | PFN: 0x0111ab4 | Физический: 0x000111ab4000 | [DIRTY]
0x7f50e2a92000 | RAM  | PFN: 0x0111abb | Физический: 0x000111abb000 | [DIRTY]
0x7f50e2a93000 | RAM  | PFN: 0x0111ab8 | Физический: 0x000111ab8000 | [DIRTY]
0x7f50e2a94000 | RAM  | PFN: 0x0111ab7 | Физический: 0x000111ab7000 | [DIRTY]
0x7f50e2a95000 | RAM  | PFN: 0x0112479 | Физический: 0x000112479000 | [DIRTY]
0x7f50e2a96000 | RAM  | PFN: 0x0110da7 | Физический: 0x000110da7000 | [DIRTY]
0x7f50e2a97000 | RAM  | PFN: 0x0111ab5 | Физический: 0x000111ab5000 | [DIRTY]
0x7f50e2a98000 | RAM  | PFN: 0x0110d96 | Физический: 0x000110d96000 | [DIRTY]
0x7f50e2a99000 | RAM  | PFN: 0x011247a | Физический: 0x00011247a000 | [DIRTY]
0x7f50e2a9a000 | RAM  | PFN: 0x0112469 | Физический: 0x000112469000 | [DIRTY]
0x7f50e2a9b000 | RAM  | PFN: 0x0110d94 | Физический: 0x000110d94000 | [DIRTY]
0x7f50e2a9c000 | RAM  | PFN: 0x0112715 | Физический: 0x000112715000 | [DIRTY]
0x7f50e2a9d000 | RAM  | PFN: 0x0110d99 | Физический: 0x000110d99000 | [DIRTY]
0x7f50e2a9e000 | RAM  | PFN: 0x0110d98 | Физический: 0x000110d98000 | [DIRTY]
0x7f50e2a9f000 | RAM  | PFN: 0x010eb77 | Физический: 0x00010eb77000 | [DIRTY]
0x7f50e2aa0000 | RAM  | PFN: 0x010eb78 | Физический: 0x00010eb78000 | [DIRTY]
0x7f50e2aa1000 | RAM  | PFN: 0x0110600 | Физический: 0x000110600000 | [DIRTY]
0x7f50e2aa2000 | RAM  | PFN: 0x010f635 | Физический: 0x00010f635000 | [DIRTY]
0x7f50e2aa3000 | RAM  | PFN: 0x01130d9 | Физический: 0x0001130d9000 | [DIRTY]
0x7f50e2aa4000 | RAM  | PFN: 0x0110602 | Физический: 0x000110602000 | [DIRTY]
0x7f50e2aa5000 | RAM  | PFN: 0x0111ab6 | Физический: 0x000111ab6000 | [DIRTY]
0x7f50e2aa6000 | RAM  | PFN: 0x0110da5 | Физический: 0x000110da5000 | [DIRTY]
0x7f50e2aa7000 | RAM  | PFN: 0x0110d95 | Физический: 0x000110d95000 | [DIRTY]
0x7f50e2aa8000 | RAM  | PFN: 0x010e8c7 | Физический: 0x00010e8c7000 | [DIRTY]
0x7f50e2aa9000 | RAM  | PFN: 0x0111a88 | Физический: 0x000111a88000 | [DIRTY]
0x7f50e2aaa000 | RAM  | PFN: 0x0111a89 | Физический: 0x000111a89000 | [DIRTY]
0x7f50e2aab000 | RAM  | PFN: 0x0111a87 | Физический: 0x000111a87000 | [DIRTY]
0x7f50e2aac000 | RAM  | PFN: 0x0111ab2 | Физический: 0x000111ab2000 | [DIRTY]
0x7f50e2aad000 | RAM  | PFN: 0x0111abc | Физический: 0x000111abc000 | [DIRTY]
0x7f50e2aae000 | RAM  | PFN: 0x0111abd | Физический: 0x000111abd000 | [DIRTY]
0x7f50e2aaf000 | RAM  | PFN: 0x01133b8 | Физический: 0x0001133b8000 | [DIRTY]
0x7f50e2ab0000 | RAM  | PFN: 0x01133b9 | Физический: 0x0001133b9000 | [DIRTY]
0x7f50e2ab1000 | RAM  | PFN: 0x01133ba | Физический: 0x0001133ba000 | [DIRTY]
0x7f50e2ab2000 | RAM  | PFN: 0x01133bb | Физический: 0x0001133bb000 | [DIRTY]
